Line,Content
871,2001861+6003
872,2001860+4669
873,2001859+3335
874,2001858+3335
875,2001857+4002
876,2001856+4669
877,2001855+5336
878,2001854+6003
879,2001853+1334
880,2001852+2001
881,2001851+9338
882,2001850+2668
883,2001849+1334
884,2001848+1334
885,2001847+1334
886,2001846+5336
887,2001845+667
888,2001844+667
889,2001839-1+
890,2001833+
891,2001832+2200
892,2001826+
893,2001814+4669
894,2001813+2668
895,2001812+2001
896,2001811+5336
897,2001810+3335
898,2001809+1334
899,2001808+1334
900,2001807+1334
901,2001806+2001
902,2001805+1334
903,2001804+3335
904,2001803+667
905,2001787-1+
906,2001782+
907,2001780+1334
908,2001779+1334
909,2001778+2001
910,2001777+11339
911,2001776+2001
912,2001775+2668
913,2001774+2668
914,2001773+2001
915,2001772+1334
916,2001771+1334
917,2001770+3335
918,2001769+2001
919,2001768+2668
920,2001767+3335
921,2001766+2001
922,2001765+3335
923,2001764+2001
924,2001763+6670
925,2001762+2001
926,2001761+2668
927,2001760+2668
928,2001757+
930,2001756-1+
932,2001752+4002
933,2001751+667
934,2001750+667
935,2001749+2668
936,2001748+1334
937,2001727+
938,2001725-2+794
939,2001725-2+
940,2001724-2+792
941,2001724-2+3176
942,2001724-2+
943,2001723-1+
945,2001715+
947,2001696+
948,2001695+
949,2001693+567
950,2001692+
951,2001691-1+38988
952,2001690+
953,2001689+5336
954,2001688+4669
955,2001687+1334
956,2001686+6003
957,2001685+4002
958,2001678+
959,2001668+2564
960,2001651+
962,2001645+
966,2001644+397
967,2001644+
968,2001639+964
969,2001638+667
970,2001630+
971,2001629+1334
972,2001628+1334
973,2001627+3335
974,2001626+1334
975,2001616+1191
976,2001612+11880
977,2001606+49980
978,2001597+1334
979,2001539+1334
980,2001538+2668
981,2001537+2668
982,2001536+4002
983,2001525+980
984,2001522+567
985,2001522+1191
986,2001503+5100
987,2001503+1200
988,2001499+19800
989,2001493-1+2382
990,2001493-1+
991,2001483+
992,2001470+6003
993,2001469+1334
994,2001468+4002
995,2001467+3335
996,2001466+3335
997,2001465+4669
998,2001464+2892
999,2001464+4536
1000,2001464+567
1001,2001446+4002
1002,2001445+5336
1003,2001444+5336
1004,2001443+3000
1005,2001421+667
1006,2001420+1334
1007,2001419+4002
1008,2001405+2668
1009,2001404+4002
1010,2001403+4669
1011,2001395+667
1012,2001394+2668
1013,2001393-1+2835
1014,2001387+2001
1015,2001385-1+3420
1016,2001385+10000
1017,2001379+5336
1018,2001378+5336
1019,2001373+3335
1020,2001372+1334
1021,2001371+2001
1022,2001370+1334
1023,2001369+4669
1024,2001368+2001
1025,2001367+5336
1026,2001366+4002
1027,2001365+5336
1028,2001355+
1029,2001332+5336
1030,2001331+33350
1031,2001322+15750
1032,2001318+667
1033,2001303+667
1034,2001275-2+18711
1035,2001275-1+794
1036,2001255+1334
1037,2001232-1+1840
1038,2001211+1800
1039,2001204+1334
1040,2001203+1334
1041,2001202+4669
1042,2001201+2001
1043,2001179+6003
1044,2001178+16675
1045,2001177+1334
1046,2001176+2001
1047,2001175+2001
1048,2001174+2668
1049,2001173+2668
1050,2001172+2001
1051,2001171+2668
1052,2001170+2001
1053,2001169+2001
1054,2001168+2668
1055,2001158+1334
1056,2001157+2001
1057,2001156+2001
1058,2001155+2001
1059,2001154+15341
1060,2001153+1334
1061,2001145+1980
1062,2001130+2668
1063,2001129+2001
1064,2001128+4002
1065,2001127+2001
1066,2001126+6003
1067,2001125+1334
1068,2001124+2668
1069,2001123+6670
1070,2001122+1334
1071,2001121+2668
1072,2001120+2001
1073,2001119+2668
1074,2001118+2001
1075,2001110+2001
1076,2001109+2668
1077,2001108+2940
1078,2001105+1334
1079,2001099-1+1588
1080,2001097+2668
1081,2001096+2001
1082,2001095+2668
1083,2001094+1334
1084,2001093+4002
1085,2001092+2001
1086,2001091+2001
1087,2001090+3335
1088,2001089+2001
1089,2001088+4002
1090,2001087+2668
1091,2001086+2001
1092,2001074+1334
1093,2001073+4002
1094,2001072+2668
1095,2001071+2668
1096,2001070+3335
1097,2001069+2668
1098,2001068+3335
1099,2001067+2668
1100,2001066+3335
1101,2001065+49000
1102,2001064+567
1103,2001064+680
1104,2001049+2668
1105,2001048+2668
1106,2001047+2668
1107,2001046+2668
1108,2001045+2668
1109,2001044+2001
1110,2001043+2001
1111,2001031+4669
1112,2001030+4669
1113,2001029+1334
1114,2001028+3335
1115,2001027+1334
1116,2001026+8004
1117,2001025+4002
1118,2001024+3335
1119,2001023+6003
1120,2001022+2668
1121,2001021+2001
1122,2001020+4669
1123,2001008+2001
1124,2001007+2668
1125,2001006+2668
1126,2001005+2668
1127,2001004+1334
1128,2001003+2001
1129,2001002+2668
1130,2001001+2668
1131,2001000+2668
1132,2000999+2001
1133,2000992+2001
1134,2000991+2668
1135,2000990+2001
1136,2000989+2668
1137,2000988+2001
1138,2000987+1334
1139,2000986+1334
1140,2000985+3335
1141,2000984+2001
1142,2000983+2001
1143,2000982+2001
1144,2000981+2668
1145,2000980+2668
1146,2000979+2668
1147,2000978+8004
1148,2000977+2668
1149,2000972+6352
1150,2000967+4669
1151,2000966+1334
1152,2000965+1334
1153,2000964+4669
1154,2000963+6003
1155,2000962+2668
1156,2000961+4669
1157,2000960+4002
1158,2000959+8004
1159,2000958+5336
1160,2000957+20010
1161,2000956+667
1162,2000955+2001
1163,2000954+2001
1164,2000953+4002
1165,2000946+6120
1166,2000939+4002
1167,2000938+2001
1168,2000937+2001
1169,2000936+2668
1170,2000935+3335
1171,2000934+3335
1172,2000933+3335
1173,2000932+4002
1174,2000931+4669
1175,2000930+4669
1176,2000929+2668
1177,2000928+2668
1178,2000927+2668
1179,2000926+2668
1180,2000925+1334
1181,2000916+3335
1182,2000915+4669
1183,2000914+2668
1184,2000913+2668
1185,2000912+1334
1186,2000911+2001
1187,2000910+1334
1188,2000909+3335
1189,2000908+4002
1190,2000891+4669
1191,2000890+1334
1192,2000889+6003
1193,2000888+4669
1194,2000887+6003
1196,2000850+10260
1197,2000846+2668
1198,2000843+2736
1199,2000838+49000
1200,2000834+3970
1201,2000831+6003
1202,2000830+7337
1203,2000829+1334
1204,2000828+9338
1205,2000827+6670
1206,2000826+6003
1207,2000825+2001
1208,2000824+4669
1209,2000823+5336
1210,2000822+6003
1211,2000814+6670
1212,2000813+4002
1213,2000812+3335
1214,2000811+16008
1215,2000810+2001
1216,2000786+49000
1217,2000785+1334
1218,2000784+4669
1219,2000783+4002
1220,2000782+2668
1221,2000781+2668
1222,2000780+2668
1223,2000779+2668
1224,2000778+2001
1225,2000777+2668
1226,2000776+2668
1227,2000775+2001
1228,2000774+2668
1229,2000773+2001
1230,2000772+2001
1231,2000771+2001
1232,2000770+2668
1233,2000769+3335
1234,2000768+2001
1235,2000767+2001
